tl,hanzi
tuā-phànn-tshiū,大冇樹
tuā-hio̍h-phànn,大葉冇
ti-bú-lin-kū,猪母乳舅
se-tsí-á,樨枳仔
tsí-poo,枳枯
oo-tshîng,烏榕
tshîng-tshiū,榕樹
tshîng,榕
tsiànn-tshîng,正榕
káu-tîng-tshe,九重吹
siap-hio̍h,澁葉
suè-hio̍h-siap-hio̍h,細葉澁葉
siap-á-tshiū,澁仔樹
pe̍h-sua,白沙
suann-ti-kê,山猪枷
pe̍h-tshîng,白榕
tshiah-iông,赤榕
suann-tshîng,山榕
tsiáu-tshîng,鳥榕
tsiáu-sái-tshîng,鳥屎榕
suann-khóo-kue,山苦瓜
khóo-kue-tsháu,苦瓜草
niû-á-hio̍h-tshiū,蠶仔葉樹
sng-tsâi-á,桑材仔
niû-á-tshiū,蠶仔樹
song-tshiū,桑樹
iâm-sng-á,鹽桑仔
n̂g-kim-kuì,黃金桂
tshì-keh-á,刺格仔
suann-tsuí-liú,山水柳
tshoo-khng-kak,粗糠壳
hê-kong-tshiu,蝦公鬚
thú-muâ,苧麻
tuē-á,苧仔
kim-sia̍h-liû,金石榴
tsiúnn-tsháu-sim-tsháu,蔣草心草
kā-lâng-káu,咬人狗
tsio̍h-tsû,石薯
tsio̍h-tsu-á,石珠仔
tsuí-kue-iû,水鷄油
tshì-tsháu,刺草
kā-lâng-niau,咬人猫
suann-gîng-gíng,山龍眼
suann-kam-á,山柑仔
suann-iū-á,山柚仔
siông-san,常山
tuânn-hiunn,檀香
n̂g-tîn,黃藤
ba̍k-hiunn,木香
tîn-tsû,藤薯
sè-sin,細辛
kiô-be̍h,蕎麥
tinn-be̍h,甜麥
pe̍h-khóo-thiāu,白苦柱
tshìn-pn̄g-tîn,凊飯藤
tshuan-tshit,川七
luê-piah-tshì,犁壁刺
khóo-tiau-á-tsháu,苦柱仔草
sann-kak-iâm-sng,三角鹽酸
tsuí-âng-kut-tsuâ,水紅骨蛇
tsuí-luê-piah-tsháu,水犁壁草
hô-siú-oo,何首烏
pe̍h-kue-sái-tîn,白鷄屎藤
âng-kut-tsuâ,紅骨蛇
khak-tshài,殼菜
tshàu-tshuan-kiong,臭川芎
tshàu-hīng,臭杏
sàu-tshiú-tsháu,掃箒草
tshiah-kun-tshài,赤根菜
tuah-phīnn-tsháu,掇鼻草
tshuah-phīnn-tsháu,擦鼻草
giû-tshik,牛膝
kue-kut-hông,鷄骨癀
mn̂g-huē-bak,磅蟹目
tò-kè-tsháu,到繼草
tsat-tsat-hue,節節花
tshân-pinn-tsháu,田邊草
âng-tshân-oo-tsháu,紅田烏草
tsá-liân-tsháu,早蓮草
âng-hue-bi̍t-tshài,紅花蜜菜
âng-tshân-oo,紅田烏
tshân-oo-tsháu,田烏草
suann-hīng-tshài,山莕菜
tshì-hīng,刺莧
tshì-soo,刺蒐
tshi-siunn,青箱
kue-kè-hue,鷄冠花
pe̍h-kuì-kiok-hue,白桂菊花
pe̍h-kue-kè,白鷄冠
kue-kè,鷄冠
oo-hî-hue,烏魚花
înn-á-hue,圓仔花
ku-hue,龜花
sòo-hiunn,素香
ian-tsi-hue,胭脂花
kí-thok,齒托
tsuí-tang-kue,水冬瓜
siong-lio̍k,商陸
hóo-kā-hông,虎咬癀
thih-kau-tsháu,鐵鉤草
tsu-tsú-tsháu,朱子草
ti-bú-tsháu,猪母草
gōo-sî-tsháu,午時草
tshuì-tsháu,嘴草
sim-á-hio̍h,參仔葉
tsîm-kóng-tshài,蟳管菜
tsîm-tshài,蟳菜
tsián-jiông-hue,剪絨花
eng-be̍h,罌麥
tshinn-hong-tsháu,菁方草
kue-tn̂g-tsháu,鷄腸草
liân,蓮
liân-hue,蓮花
tsuí-liân-hue,水蓮花
ui-lîng-sian,威靈仙
uî-hōo-sian,為候仙
tshǹg-phīnn-lîng,串鼻龍
pih-á-tsháu,鼈仔草
thong-tshó,蓪草
tsio̍h-ge̍h,石月
n̂g-peh,黃柏
pueh-kak-liân,八角蓮
thih-gû-ji̍p-tsio̍h,鐵牛入石
pe̍h-suann-han-tsû,白山蕃薯
hông-kí,防巳
luê-piah-tîn,犁壁藤
luê-piah-tsháu,犁壁草
tó-tuē-kióng,倒地拱
tuā-huê-hûn,大回魂
pueh-kak,八角
uánn-lîng-tshiū,碗龍樹
pueh-kak-á,八角仔
lâm-ngóo-bī-tsí,南五味子
iā-ha̍p,夜合
gio̍k-lân,玉蘭
oo-sim-tsio̍h,烏心石
hâm-siàu,含笑
giû-sim-lâi,牛心梨
phang-lâi,香梨
sik-kia-kó,釋迦果
hu̍t-thâu-kó,佛頭果
ing-jiáu-thô,鶯爪桃
kue-jiáu-lân,鷄爪蘭
phang-hue,香花
tshàu-sái-lâm,臭屎楠
suè-hio̍h-lâm,細葉楠
thih-sái-lâm,鐵屎楠
kue-bâi,鷄眉
lo̍h-khak-tsan,落殼櫕
kiú-kiong-kū,九芎舅
huan-á-uan,蕃仔灣
bô-kun-tsháu,無根草
tsiunn,樟
pún-tsiunn,本樟
tshàu-tsiunn,臭樟
suann-tshàu-tsiunn,山臭樟
suann-tsiáu-tsiunn,山鳥樟
tsiáu-tsiunn,鳥樟
thóo-jio̍k-kuì,土肉桂
tsiunn-gû,樟牛
gû-tsiunn,牛樟
phànn-tsiunn,冇樟
jio̍k-kuì,肉桂
kuì-ki,桂枝
a-lí-sim,阿里參
hiunn-kuì,香桂
suann-jio̍k-kuì,山肉桂
thóo-tsiunn,土樟
kau-khak-kuì,厚殼桂
phang-kuì,攀桂
phànn-kuì,冇桂
thóo-lâm,土楠
lāi-tang-tsí,內冬子
suann-ho-tsio,山胡椒
tuā-hio̍h-lâm,大葉楠
lâm-á,楠仔
hiunn-lâm,香楠
ti-kha-lâm,猪脚楠
lâi-tang-tsí-lâm,內冬子楠
hé-thuànn-lâm-á,火炭楠仔
lāi-thuànn-tsí-lâm,內炭子楠
iû-hio̍h-lâm,油葉楠
tik-hio̍h-lâm,竹葉楠
gōo-tsiúnn-lâm-á,五掌楠仔
gōo-hio̍h-lâm-á,五葉楠仔
oo-hun-hue,烏煙花
ô-khak-á,蠔殼仔
gû-kak-uai,牛角歪
sann-kha-tiāu,三脚掉
sann-kha-phî,三脚皮
sann-kha-pia̍t,三脚別
sann-kha-pih,三脚鼈
pe̍h-hue-á-tshài,白花仔菜
hiòng-thian-hông,向天黃
înn-tshài-thâu,圓菜頭
kuà-tshài,芥菜
tuā-tshài,大菜
ko-lê-tshài,高麗菜
tshài-hue,菜花
pe̍h-tshài,白菜
kńg-sim-pe̍h-tshài,卷心白菜
suann-kuà-tshài,山芥菜
tshài-thâu,菜頭
lâi-ho̍k,萊菔
tshinn-to-tsháu,生刀草
tshinn-to-io̍h,生刀藥
kha-bak-tsháu,脚目草
kha-bú-tsháu,脚母草
pe̍h-poo-kiunn,白埔姜
siông-san-tshiū,常山樹
siông-san-nî,常山尼
hôo-hī-tsháu,虎耳草
kim-hī-tsháu,錦耳草
tshit-lí-hiong,七里香
png-á,楓仔
phng-siū,楓樹
hē-bê,夏粥
suann-gî-pê,山枇杷
gî-pê,枇杷
tsuâ-pô,蛇婆
lîng-thòo-tsu,龍吐珠
tsuâ-pho,蛇波
hái-tông,海棠
suann-siann-tsa,山仙查
siap-lâi,澁梨
hê-bé,蝦尾
suann-gû-lin,山牛乳
suann-eng-thô,山櫻桃
muî-á,梅仔
pe̍h-muî,白梅
thô-á,桃仔
thô-jîn,桃仁
lí-á,李仔
suann-lâi,山梨
tsiáu-lâi,鳥梨
tsuí-lâi,水梨
lâi-á,梨仔
tiû-tshun-hue,綢春花
tuā-kim-ing,大金英
kim-ing,金英
sió-kim-ing,小金英
hóo-m̂-tshì,虎梅刺
iâm-pô,鹽婆
tshì-muî,蕀梅
hâ-phî-lâm,夏皮楠
kue-bú-tsu,鷄母珠
kue-bû-tsin-tsu,鷄母真珠
kue-bú-tsú,鷄母子
âng-tsu-bo̍k,紅珠木
siunn-si-á,相思仔
hiong-si-siū,相思樹
kim-ha̍p-huan,金合歡
gû-kak-hue,牛角花
tshì-kiû-hue,刺毬花
huan-tshì-á,蕃刺仔
iûnn-kang-tshì,羊牨刺
bián-tiān-hap-huan,緬甸合歡
huan-pô-tshiū,蕃婆樹
pe̍h-kî-tshun,白其春
suann-thôo-tāu,山土豆
sîn-si̍t-tsháu,蠅翼草
thôo-tāu-kū,土豆舅
thôo-tāu,土豆
kau-tîn,鉤藤
kiok-hue-bo̍k,菊花木
tah-bah-tshì,搭肉刺
ing-hio̍h-tshì,鷹葉刺
n̂g-ôo-ia̍p,黃蝴蝶
tsang-bo̍k,稯木
soo-bo̍k,蘇木
hue-lê-tshiū-tāu,花螺樹豆
tshiū-tāu,樹豆
tshài-to-tāu,菜刀豆
kuan-to-tāu,關刀豆
to-pán-jîn-tāu,刀板仁豆
puî-ti-á-tāu,肥猪仔豆
iûnn-kak-tāu,羊角豆
sió-iûnn-kak-tāu,小羊角豆
iûnn-tāu,羊豆
pe̍h-bé-sái,白馬屎
gōng-gōng-tsháu,戇戇草
muá-tiánn-kôo-tsháu,滿鼎糊草
bō-á-tsháu,磨仔草
tāi-hî-lân,𩻸魚鱗
bé-tê-kim,馬蹄金
tsu-á-tsháu,珠仔草
pián-thiok,萹蓄
hôo-sîn-si̍t,蝴蠅翼
sann-hī-tsháu,三耳草
sann-hīnn-á-tsháu,三硯仔草
sù-kuì-tshun,四季春
lîng-tsi̍h-hông,龍舌黃
pe̍h-koo-soo-hue,白古蘇花
ngôo-bî-tāu,蛾眉豆
tsiáu-á-tāu,鳥仔豆
pe̍h-bah-tāu,白肉豆
bah-tāu,肉豆
ah-kiān-tîn,鴨腱藤
tshì-tông,刺桐
tshàu-khang-á,臭空仔
tshian-kun-puih,千斤拔
kue-kak-kong,鷄鵤公
tshinn-phê-tāu,青皮豆
pe̍h-tāu,白豆
oo-tāu,烏豆
huan-tshinn,蕃菁
tuā-tshinn,大菁
pún-tshinn,本菁
sió-tshinn,小菁
tshian-lí-kong,千里光
kuah-tîn,葛藤
kuè-suann-lîng,過山龍
lōo-tîn,蕗藤
hî-tîn,魚藤
hóo-jiáu-tāu,虎爪豆
hu-kuì-tāu,富貴豆
huih-tîn,血藤
tshinn-kâu-kong-tshiū,青猴公樹
kuah-tsû,葛薯
han-tsû,蕃薯
hông-tè-tāu,皇帝豆
bí-tāu,米豆
li̍k-tāu,綠豆
tshài-tāu,菜豆
huan-á-tāu,蕃仔豆
ho-lin-tāu,荷蘭豆
kim-ku-tshiū,金龜樹
oo-kue-kut,烏鷄骨
ām-sê-tāu,頷垂豆
kue-bâi,雞眉
tāu-tshài,豆菜
tsú-tuânn,紫檀
kuah-tîn-tsháu,葛藤草
kan-kuah,乾葛
suann-bah-tāu,山肉豆
suann-tshinn,山菁
bé-khí-tāu,馬齒豆
tshâm-tāu,蠶豆
iûnn-muî-thô,楊梅桃
sió-lé-hue,小禮花
iâm-sng-á-tsháu,鹽酸仔草
iâm-sng-tsháu,鹽酸草
suann-iâm-sng,山鹽酸
pe̍h-tsi̍t-lê,白蒺藜
tsi̍t-lê,蒺藜
sann-kha-hóo,三脚虎
sann-kha-bé-á,三脚馬仔
sann-kha-ting,三脚丁
oo-kam-á,烏柑仔
n̂g-kun,黃根
tuā-thè-hông,大退癀
hiunn-kam,香柑
guân-siau-kam,元宵柑
liân-siau-kam,年宵柑
hóo-thâu-kam,虎頭柑
táu-iū,斗柚
iū-á,柚仔
tuā-táu-iū,大斗柚
bān-iū,晚柚
bûn-tàn,文旦
muâ-tāu-bûn-tàn,麻豆文旦
pe̍h-bah-iū,白肉柚
muâ-tāu-pe̍h-iū,麻豆白柚
bit-iū,蜜柚
suann-tang-iū,山東柚
tsio̍h-thâu-iū,石頭柚
tsá-iū,早柚
pe̍h-hio̍h-iū,白葉柚
oo-hio̍h-iū,烏葉柚
kuâinn-tshiûnn-iū,高墻柚
tiong-iū,中柚
hiong-iân,香櫞
hiunn-înn,香圓
hiunn-iū,香柚
hu̍t-siú,佛手
hu̍t-siú-hiunn-kam,佛手香柑
tsài-sing-kiat,再生橘
sù-kuì-kiat,四季橘
huan-kam,蕃柑
kong-sun-kiat,公孫橘
sng-kiat,酸橘
tinn-kiat,甜橘
seh-kam,雪柑
tsuí-kam,水柑
âng-kam,紅柑
tháng-kam,桶柑
nî-kam,年柑
kuâinn-tshiûnn-tháng-kam,高墻桶柑
hái-lâi-kam,海梨柑
n̂g-phî,黃皮
n̂g-kam,黃柑
kè-suann-hiunn,過山香
huan-á-phang-tsháu,蕃仔香草
tsha̍t-á-tshiū,賊仔樹
suann-tshat,山漆
suann-kuah-tshài,山葛菜
sann-pih-pí,三鼈比
tshì-tshang,刺葱
tuā-hio̍h-tshì-tshang,大葉刺葱
jîn-tshì-tshang,仁刺葱
tsiáu-ta̍h-tshì,鳥踏刺
kóo-gua̍t-kun,古月根
sang-bīn-tshì,雙面刺
hau-khak-tshì,鱟壳刺
kim-kam,金柑
tsio̍h-lîng-kū,石柃舅
tshit-lí-hiong,七星香
tsio̍h-lîng,石柃
sip-lí-hiong,十里香
tshàu-phû-iông,臭芙蓉
kann-ná,橄欖
tshiū-lân,樹蘭
tshiu-lân,秋蘭
âng-tshâ,紅柴
tuā-âng-thun-tshiū,大紅椿樹
khóo-līng,苦楝
uán-tsì,遠志
juē-á-tsháu,蚋仔草
thih-tiò-kuann,鐵釣竿
tê-si-hông,茶絲黃
tshân-gō-á-tsháu,田臥仔草
tông-tsi-tshiū,桐子樹
iû-tông,油桐
tông-tsí-tshiū,桐子樹
kńg-tang-iû-tông,廣東油桐
koo-lí-tin,枯里珍
ka-tang,茄苳
âng-sim-á,紅心仔
âng-tsu,紅珠
tshit-ji̍t-n̄g,七日暈
âng-tsu-á,紅珠仔
âng-tsu-á-thâu,紅珠仔頭
âng-ì-á,紅薏仔
pe̍h-á,白仔
tōo-bi̍t-tshiū,杜蜜樹
tshì-tōo-bi̍t,刺杜蜜
tshì-lâm,刺楠
khī-kôo,柿糊
pe̍h-hio̍h-ē,白葉下
hio̍h-ē-pe̍h,葉下白
pa-tau,巴豆
kóng-á,廣仔
bíng-tshiū,猛樹
kòng-á,貢仔
hóo-phê-lâm,虎皮楠
thih-sik-tshiū,鐵色樹
tāi-kah-tsháu,大甲草
pat-kuà-tsháu,八卦草
lin-á-tsháu,乳仔草
huan-á-tshì,蕃仔刺
gî-hoo-tuan,宜呼端
lik-san-ôo,綠珊瑚
thih-tshiū,鐵樹
âng-bé-á-tsháu,紅尾仔草
pián-thiok-tsháu,萹蓄草
lin-tsháu,乳草
huan-hûn-tsháu,翻魂草
âng-lin-tsháu,紅乳草
oo-á-ba̍k-tsháu,烏仔目草
kè-lōo-giâ-kang,過路蜈蚣
pián-tsiong,蝙章
thóo-tîm-hiunn,土沈香
tsuí-tsha̍t-á,水賊仔
pe̍h-tshiū-á,白樹仔
bīn-thâu-ké,面頭菓
tshiah-huih-á,赤血仔
tuā-âng-sim,大紅心
bîn-thâu-ké,面頭菓
bûn-thâu-ké,文頭菓
iû-tông-tshiū,油桐樹
tsuí-tshat,水漆
pa-tāu,巴豆
huih-tông,血桐
ting-tông,橙桐
ting-lân,橙欄
pe̍h-pû-á,白匏仔
pe̍h-hio̍h-á,白葉仔
pe̍h-pû,白匏
khī-kôo-bo̍k,柿糊木
la̍k-liàm-á,六棯仔
lā-lí-á,嘮哩仔
la̍k-kiám-á,六檢仔
kau-tîn,鈎藤
pùn-ki-tîn,糞箕藤
tshiū-tsû,樹薯
thâng-sái,蟲屎
iû-kam,油柑
sió-huan-hûn,小翻魂
hio̍h-ē-tsu,葉下珠
pi-muâ,蓖麻
pi-muâ-á,蓖麻仔
âng-pi-muâ,紅蓖麻
suann-khīng,山柏
phànn-khīng,冇柏
pe̍h-khing,白柏
khīng-á,柏仔
khīng-á-tshiū,柏仔樹
tshī-tshang,市葱
tsio̍h-liú,石柳
luē-tē-tsio̍h-liú,內地石柳
suann-suāinn-á,山檨仔
suāinn-á,檨仔
nuānn-sim-bo̍k,爛心木
nuā-sim,爛心
suann-iâm-tshinn,山鹽菁
poo-iâm-á,埔鹽仔
suann-poo-iâm,山埔鹽
iâm-tang-hue,鹽東花
poo-iâm,埔鹽
suann-tsha̍t-á,山賊仔
tshat,漆
tshat-tshit-tshiū,漆七樹
ting-phing-á,燈秤仔
bān-tiám-kim,萬點金
ting-tshing-hue,燈稱花
ting-phîng-hue,燈秤花
kôo-thu,糊樗
khóo-thu,苦株
pe̍h-gûn,白銀
bé-kháu-tshiū,馬口樹
tsiáu-kiān-hue,鳥腱花
suann-hiunn-înn,山香圓
kue-jiû,鷄柔
tshinn-png,青楓
tsí-kiong,止宮
tó-tuē-lîng,倒地柃
pe̍h-hue-á-tsháu,白花仔草
gîng-gíng,龍眼
khóo-līng-kang,苦楝江
khóo-līng-kū,苦楝舅
pua̍t-á-kue-iû,拔仔雞油
nāi-tsi,荔枝
huân-á-gîng-gíng,蕃仔龍眼
luân-tshiū,欒樹
n̂g-ba̍k-tsí,黃目子
ba̍k-lô,木羅
ba̍k-lông-tshiū,木浪樹
suann-ti-bah,山猪肉
suann-ti-kuann,山猪肝
pit-lô-tsí,筆羅子
li̍k-tsiunn,綠樟
tsńg-kah-hue,指甲花
oo-tshì-á,烏刺仔
oo-ba̍k-á,黑目仔
tháng-kau-tîn,桶鈎藤
gû-tsang-tshì,牛鬃刺
tsó-á,棗仔
âng-tsó,紅棗
tuā-tsó,大棗
tuā-phû-tô,大葡萄
suann-phû-tô,山葡萄
líng-pn̄g-tîn,冷飯藤
hī-khang-á-tîn,耳空仔藤
