tl,hanzi,frequency
pí,比,5713
hí,喜,5697
khai,開,5693
ge̍h,月,5651
lī,利,5627
khue,溪,5577
jiân,然,5569
khang,空,5567
tsîng,前,5527
sit,失,5517
âng,紅,5474
kiânn,行,5462
ha̍p,合,5457
tsa,查,5445
tńg,轉,5374
tshī,市,5352
pinn,邊,5350
thuân,傳,5340
bān,萬,5320
tsìn,進,5302
tsiàu,照,5261
hî,魚,5259
thué,體,5258
thé,體,5258
khó,可,5215
li̍p,立,5214
ông,王,5200
kau,交,5192
tsuán,轉,5189
lô,羅,5188
pōo,部,5174
tông,同,5164
hū,父,5148
hō,號,5140
puànn,半,5103
tsiân,前,5066
kiat,結,5066
sann,三,5056
pó,保,5027
gī,義,5025
tsâi,才,5020
kue,雞,5020
tsheh,冊,5017
hong,方,5014
tiûnn,場,5008
jia,遮,5007
hok,福,5005
siu,收,5000
gû,牛,5000
tiúnn,長,4989
kap,鴿,4927
kui,規,4915
mn̄g,問,4872
bián,免,4861
sǹg,算,4853
ko,高,4846
suah,煞,4845
jī,二,4841
thóo,土,4794
suán,選,4775
hā,下,4750
ē,下,4750
san,山,4739
iû,油,4709
pōo,步,4691
piáu,表,4675
tsháu,草,4667
sì,四,4665
tsí,子,4660
iú,友,4656
sam,三,4626
pîng,平,4615
bah,肉,4608
tsio̍h,石,4571
suè,細,4559
kak,覺,4559
gia̍p,業,4524
pàng,放,4507
pau,包,4485
tsiú,酒,4471
sio̍k,續,4468
kuí,幾,4460
bí,米,4425
tn̂g,長,4422
má,媽,4398
būn,問,4385
tik,竹,4383
tshiūnn,像,4377
pah,百,4376
iūnn,樣,4375
tsìng,正,4364
tsiap,接,4351
sái,屎,4331
io̍h,藥,4327
lia̍h,掠,4324
tué,底,4318
liân,連,4313
tsa̍p,十,4304
hāng,項,4298
kim,今,4280
hiòng,向,4258
kiù,救,4257
kám,敢,4239
īng,用,4235
káng,港,4182
hiann,兄,4171
to,多,4166
suànn,線,4156
lîng,能,4149
ki,基,4131
sīm,甚,4128
tshân,田,4120
tshiū,樹,4070
sè,勢,4059
o̍h,學,4044
kuán,館,4027
tsiàn,戰,4010
kha,腳,4002
siat,設,4002
tshiò,笑,3995
tsē,坐,3988
kheh,客,3978
liām,念,3977
khuân,權,3973
sì,世,3962
tī,治,3960
sui,雖,3954
má,馬,3953
siong,傷,3924
kan,矸,3922
kiû,求,3908
kóo,古,3902
tso̍k,族,3899
kî,期,3897
hô,和,3885
kái,改,3877
hâng,行,3876
thóng,統,3866
liû,流,3829
káu,狗,3818
uī,為,3816
hūn,份,3815
se,西,3804
kài,界,3799
tang,東,3791
iok,約,3742
tsíng,種,3740
tò,倒,3732
lī,離,3699
kuan,觀,3698
pn̄g,飯,3685
hāi,害,3678
tiàm,店,3670
sik,式,3669
si,詩,3665
poo,埔,3662
kut,骨,3660
tsí,止,3659
tsiok,足,3647
kî,其,3645
tho̍k,讀,3626
hāu,校,3610
lí,里,3604
i,醫,3593
tsit,此,3586
kak,角,3575
kà,教,3568
liân,年,3567
kòo,顧,3561
sī,示,3535
kua,歌,3521
sán,產,3513
pia̍t,別,3511
teh,壓,3507
sū,士,3492
tsiànn,正,3491
tit,得,3486
khùn,睏,3486
tang,冬,3477
kuann,官,3458
thài,太,3450
tsiòng,將,3441
tshim,深,3438
tê,茶,3426
tann,今,3424
hîng,形,3419
àn,按,3419
hn̂g,園,3408
bo̍k,牧,3402
tsō,造,3400
huán,反,3397
ti̍k,特,3397
pīnn,病,3392
su,輸,3390
kù,句,3378
sann,衫,3376
tuann,單,3371
sio,燒,3369
niû,娘,3365
tsuē,罪,3360
tok,督,3324
kè,價,3323
kiānn,件,3307
too,都,3302
tò,到,3301
tsún,準,3291
tiâu,條,3286
phuà,破,3280
tsûn,船,3270
tshiánn,請,3261
sìng,聖,3249
tāng,重,3234
sàng,送,3230
tiunn,張,3222
bōng,望,3218
khan,牽,3217
bī,味,3212
ing,英,3210
tíng,等,3203
kiàn,建,3201
kánn,敢,3179
tshinn,生,3163
khuì,氣,3144
tsuá,紙,3134
tsuan,專,3129
ti,豬,3126
tu,豬,3126
kuá,寡,3125
su,思,3123
uán,遠,3116
tiōng,重,3114
tshàu,臭,3108
tsing,精,3107
to̍k,獨,3095
pái,擺,3083
hiáu,曉,3083
suî,隨,3082
kiông,強,3049
pa̍t,別,3043
siā,謝,3028
īnn,院,3016
guān,願,3016
siàu,少,3010
khó,考,3008
jīn,認,3005
tāu,豆,3000
ná,那,2994
tīn,陣,2992
tsiah,隻,2989
kai,該,2986
pîng,朋,2984
su,書,2980
sái,使,2966
lâu,流,2954
tsí,只,2950
pâi,排,2950
tìn,鎮,2950
kuí,鬼,2941
phín,品,2932
pâng,房,2928
pòo,布,2924
làu,落,2916
hiông,雄,2901
khin,輕,2882
kun,軍,2876
nâ,林,2875
hì,戲,2869
tsóo,祖,2864
hú,府,2856
kiám,檢,2838
tó,倒,2836
uá,倚,2834
gī,議,2834
sòo,數,2832
tha̍k,讀,2820
siang,雙,2816
sio̍k,俗,2810
siau,消,2810
thó,討,2800
tôo,徒,2797
sian,仙,2792
kiû,球,2784
tián,展,2778
liāu,料,2775
liōng,量,2765
kng,光,2761
kè,計,2759
thàn,趁,2759
kíng,景,2750
uānn,換,2747
tsha,差,2740
piān,便,2736
tsè,制,2722
tóng,黨,2708
li̍k,歷,2707
tsu,資,2706
íng,永,2703
phiò,票,2693
kuài,怪,2686
toh,桌,2677
lióng,兩,2654
kuán,管,2652
ián,演,2640
pī,備,2639
phik,拍,2637
huì,費,2631
tsi̍p,集,2628
sūn,順,2626
ho̍k,服,2625
thih,鐵,2613
tik,德,2594
ah,呵,2588
kūn,近,2586
phê,皮,2583
hōo,護,2583
m̄,不,2579
lîm,林,2578
tán,等,2562
tshíng,請,2562
tshun,春,2561
bū,務,2544
thàu,透,2543
kiōng,共,2539
ki̍p,及,2526
gōo,五,2521
tiām,恬,2516
kong,功,2513
tsiong,將,2502
siong,相,2500
tâu,投,2494
tshòng,創,2493
tshinn,青,2489
kam,甘,2482
mi̍h,物,2476
siânn,城,2472
giām,驗,2471
póo,補,2470
iông,容,2467
ióng,養,2466
koo,姑,2461
tsiòng,眾,2450
hōo,雨,2449
tshit,七,2425
jîn,仁,2425
tì,致,2414
tsīn,盡,2410
kìnn,見,2409
tsng,庄,2400
thè,退,2387
tuê,題,2380
tsâi,財,2375
piah,壁,2374
hòng,放,2372
sī,視,2371
tiānn,定,2370
tsit,質,2369
mî,暝,2368
tsiânn,成,2363
sué,洗,2363
tsài,再,2362
tsióng,種,2362
tsiáu,鳥,2362
phīnn,鼻,2360
uì,對,2354
thiàu,跳,2351
la̍t,力,2342
huê,回,2342
hê,回,2342
si̍p,習,2332
tshiùnn,唱,2326
lú,女,2326
tsham,參,2323
su̍t,術,2321
sái,駛,2319
kuann,肝,2310
kinn,經,2304
tshī,飼,2294
pan,班,2292
uân,完,2285
tān,但,2284
lâu,樓,2278
jia̍t,熱,2275
iá,野,2274
kóo,鼓,2258
pînn,平,2251
khuài,快,2251
kio̍k,局,2245
kok,各,2238
tsí,姊,2236
pô,婆,2236
àn,案,2236
líng,冷,2230
lo̍k,樂,2229
luān,亂,2228
hu,夫,2228
jīm,任,2224
lîng,靈,2220
kó,果,2217
liân,聯,2216
tshian,千,2213
he,彼,2206
hè,貨,2200
kî,奇,2197
huih,血,2188
siu,修,2187
khò,課,2186
tshiat,切,2183
tuì,碓,2176
uî,圍,2174
tsuè,最,2169
tiō,讀,2163
tiō,趙,2163
lia̍p,粒,2160
tsìng,證,2160
gia̍h,額,2154
luē,內,2150
táu,斗,2150
ìn,印,2149
ta,焦,2145
ín,引,2143
iû,由,2135
tshì,試,2135
khak,殼,2134
pit,筆,2127
pak,腹,2127
tsu,珠,2117
kò,告,2113
tsōo,助,2111
thuân,團,2111
tshâ,柴,2111
ôo,湖,2109
ga̍k,樂,2106
guân,源,2104
tsit,職,2101
buē,賣,2101
pó,寶,2099
hun,婚,2097
si̍t,食,2097
n̂g,黃,2091
tsīng,靜,2086
bîng,名,2083
ná,拿,2068
luī,類,2067
sing,先,2061
kî,祈,2054
ké,假,2047
to,刀,2036
tn̂g,堂,2031
tôo,圖,2028
keh,隔,2028
kui,歸,2025
hui,非,2018
hè,歲,2007
huan,番,2005
tsí,指,2001
ku,龜,2000
nńg,軟,1998
buán,滿,1996
hū,婦,1992
ióng,勇,1985
bāng,望,1980
tián,典,1978
ok,惡,1971
huah,喝,1968
tsù,注,1968
huân,煩,1967
phok,博,1962
la̍k,六,1960
keh,格,1956
thîng,停,1954
liû,留,1946
kū,舊,1945
iân,緣,1944
lân,蘭,1941
bāng,網,1939
guân,元,1937
phue,批,1936
kíng,境,1932
bué,買,1923
khò,靠,1923
tàu,鬥,1921
lí,李,1918
bú,舞,1914
ik,益,1911
ting,燈,1910
peh,伯,1908
pang,幫,1908
kik,激,1908
bîn,眠,1906
sai,西,1902
ki̍k,極,1899
lô,勞,1896
tsè,濟,1885
khong,空,1884
tuī,隊,1881
sioh,惜,1876
hī,耳,1870
ki,枝,1864
tsing,鐘,1863
phìnn,片,1860
tuā,舵,1856
înn,圓,1855
thau,偷,1854
giâm,嚴,1853
sun,孫,1853
kiong,宮,1850
ho̍k,復,1848
tsi,之,1845
ko,哥,1841
tì,智,1834
hàu,孝,1833
gî,疑,1832
gú,語,1831
tōo,肚,1823
tsíng,整,1822
kuì,貴,1821
kuánn,趕,1819
huan,翻,1817
hāu,效,1816
tû,除,1812
tī,弟,1808
bo̍k,目,1808
tsha̍t,賊,1807
muí,每,1805
tóo,肚,1802
tsì,志,1796
pat,八,1787
siòng,相,1786
iù,幼,1785
hē,系,1781
phài,派,1780
mn̂g,毛,1768
phuè,配,1767
phè,配,1767
thui,推,1766
to̍k,毒,1764
hiunn,香,1757
siong,商,1750
hún,粉,1750
uàn,怨,1749
kìng,敬,1749
līng,另,1745
kûn,群,1745
ping,兵,1742
khiàm,欠,1738
huān,犯,1738
kè,嫁,1737
tshoo,初,1736
kan,干,1736
ta̍h,踏,1736
phîng,評,1735
pán,版,1734
gē,藝,1733
ang,翁,1732
hô,河,1729
tn̄g,斷,1722
bo̍k,莫,1720
ke,加,1719
tsū,住,1718
sòo,素,1717
kin,今,1712
lông,農,1711
suan,宣,1710
pian,編,1708
thua,拖,1704
thâi,刣,1700
kue,瓜,1700
píng,反,1698
bo̍k,木,1697
kán,簡,1691
muá,滿,1688
liông,良,1685
siù,秀,1682
lia̍t,列,1678
tîng,重,1677
tsing,爭,1674
té,短,1674
hāu,候,1663
hiàn,獻,1663
khàu,哭,1662
thàm,探,1658
hing,興,1656
liâu,寮,1650
tháng,桶,1650
puânn,盤,1650
tsioh,借,1646
tiāu,調,1645
îng,榮,1641
láu,老,1640
si̍p,十,1639
sù,四,1639
tshn̂g,床,1634
tsì,至,1634
tshīng,穿,1626
siànn,聖,1624
sàn,散,1623
hiám,險,1623
un,溫,1622
tsiām,漸,1621
tánn,打,1617
hng,方,1611
tsoh,作,1609
nn̄g,二,1608
nn̄g,浪,1608
tsa̍p,雜,1608
bē,未,1607
biō,廟,1600
tap,答,1599
tsūn,陣,1595
khuân,環,1578
tē,袋,1578
lâm,男,1573
si̍k,熟,1569
tuà,帶,1565
tshî,持,1563
tsun,尊,1562
tshin-tshiūnn,親像,1562
kí,己,1560
hù,富,1558
kian,堅,1553
kun,根,1550
tiong,忠,1540
hān,限,1536
sì,勢,1535
niá,領,1526
bīng,命,1524
ah,啊,1521
tsiong,章,1521
lān,難,1520
thuè,替,1511
pá,飽,1511
huānn,岸,1508
io,育,1507
tsió,少,1505
tsûn,存,1501
tsong,宗,1500
bú,武,1500
hián,顯,1494
ta̍t,值,1491
jû,如,1489
hô,何,1488
khan,刊,1488
iûnn,洋,1488
hioh,歇,1485
koo,孤,1483
tuānn,段,1482
kat,結,1482
tsù,註,1482
gûn,銀,1481
bê,迷,1479
phuànn,判,1477
iânn,贏,1473
tshat,察,1467
síng,省,1462
tām,淡,1461
siōng,象,1461
tsân,層,1456
bāng,夢,1454
tshiánn,且,1452
jú,愈,1450
iū,又,1449
tshái,彩,1449
iânn,營,1441
tāng,動,1440
liān,練,1435
náu,腦,1434
tǹg,頓,1427
ta̍t,達,1418
lē,例,1413
lu̍t,律,1407
káu,九,1406
hû,符,1402
tong,東,1401
pâi,牌,1400
kâu,猴,1400
ké,粿,1400
lân,難,1394
ún,穩,1393
ap,壓,1390
pun,分,1388
huī,惠,1386
pi,悲,1382
lo̍k,落,1381
tâi-uân,台灣,1379
tan,單,1379
ua̍t,越,1371
kiám,減,1370
hām,陷,1369
sik,室,1367
tsik,責,1364
tióng,長,1360
i̍k,譯,1354
hûn,魂,1354
o,呵,1353
siú,首,1351
siū,壽,1350
khoo,呼,1344
tí,抵,1344
hio̍h,葉,1341
hu̍t,佛,1340
hoo,呼,1337
hi,希,1335
siú,守,1333
khiok,卻,1332
siáu,小,1319
tē,弟,1315
pio,標,1315
su,需,1312
iûnn,羊,1308
tông,堂,1306
tsua̍t,絕,1306
kip,級,1304
ni,奶,1300
hōo,戶,1300
tong,當,1300
sè,稅,1300
mī,麵,1300
kuà,掛,1299
hóng,訪,1299
ìn,應,1297
kìm,禁,1294
tshinn,星,1288
tshú,取,1284
phuānn,伴,1275
lîng,龍,1274
tshuā,娶,1269
tshò,錯,1268
phiàn,騙,1265
îng,閒,1258
pe,飛,1258
tsè,祭,1257
tsài,載,1256
thuat,脫,1255
tsiá,姐,1254
siunn,傷,1251
iu,憂,1250
iô,搖,1250
kóo,股,1250
sio̍k,屬,1245
tsiat,節,1245
tsueh,節,1245
to,都,1238
gún,阮,1237
seh,說,1236
hīng,行,1233
kue,街,1223
hiâm,嫌,1220
ká,假,1210
tsàn,贊,1207
kau,溝,1206
kài,介,1204
tsik,叔,1201
kāu,厚,1200
kiô,橋,1200
thn̂g,糖,1200
kiâm,鹹,1200
muâ,麻,1200
tài,帶,1197
gio̍k,玉,1197
kiann,京,1194
tshing,稱,1194
tiòng,中,1192
bi̍t,密,1190
siúnn,賞,1186
suah,撒,1184
tshú,此,1183
óng,往,1180
hut,忽,1178
sîng,承,1177
tsiu,洲,1177
un,恩,1176
pik,迫,1175
ló,老,1172
kià,寄,1169
bē,妹,1164
khik,刻,1154
pìnn,變,1154
jiō,尿,1150
gōng,戇,1150
tn̂g,腸,1150
gín-á,囝仔,1148
tè,塊,1147
phóo,普,1146
pa,巴,1145
tó,島,1143
tshó,楚,1143
nā,但,1142
khòng,抗,1142
thang,窗,1142
liông,龍,1140
uī,畫,1138
kun,君,1134
to̍h,着,1132
tshik,策,1132
tshiūnn,上,1126
hē,下,1117
kuè,檜,1117
tsio,招,1116
tshâ,查,1116
jî,兒,1115
tsiu,州,1115
thiann,廳,1112
tam,擔,1111
siōng,尚,1108
tshú,處,1107
poo,晡,1106
tiūnn,丈,1105
tshiong,充,1102
phang,芳,1101
hông,防,1100
piánn,餅,1100
ah,鴨,1100
tshám,慘,1099
hûn,雲,1098
po̍h,薄,1096
puann,般,1095
sing,聲,1082
sok,束,1080
môo,毛,1076
tsiok,祝,1074
siông,詳,1073
siū,授,1071
siùnn,相,1071
gōo,誤,1069
tsat,節,1067
guî,危,1062
bóng,罔,1057
pueh,八,1056
ǹg,向,1054
hū,負,1053
ngá,雅,1052
pang,枋,1050
tshoo,粗,1050
hīng,幸,1042
niâ,娘,1039
līng,令,1038
thìng,聽,1022
ai,哀,1016
suànn,散,1014
khuah,闊,1014
khùn,困,1013
puē,背,1013
tsuē,多,1012
jua̍h,熱,1011
tann,擔,1010
puê,陪,1008
sí,矢,1005
tiàu,吊,1000
tsām,站,1000
kioh,腳,1000
hóo,虎,1000
khòo,褲,1000
liân,蓮,999
phō,抱,997
kù,據,997
thòng,痛,990
hònn,好,987
si,司,986
tsìng,種,984
tian,顛,980
liâm,黏,969
thiam,添,967
khǹg,藏,963
suat,說,961
gua̍t,月,957
ia̍h,役,953
phò,破,952
tsè,債,950
thiu,抽,950
si,絲,950
lê,螺,950
tsiam,針,950
iâm,鹽,950
khóng,孔,943
tshē,坐,939
kuânn,寒,929
sù,賜,929
tsú,煮,928
mē,罵,919
tshínn,醒,919
lâi-khì,來去,918
tsiông,從,914
kóng,管,914
tànn,擔,909
kuè,界,904
piàn,遍,903
sóo-tsāi,所在,902
ang,尪,900
pán,板,900
í,椅,900
tinn,甜,900
tsong,裝,900
tshú,鼠,900
su,軀,898
tsu,書,894
phinn,篇,891
kin-á-ji̍t,今仔日,888
tân,陳,886
hióng,響,883
khik,曲,878
bī,未,876
tsiò,照,876
niáu,鳥,874
tsiann,正,872
só,嫂,870
khàn,看,866
huann-hí,歡喜,859
kang,公,852
tshe,吹,851
nn̄g,卵,850
khàm,崁,850
thng,湯,850
siáu,痟,850
su,私,850
sún,筍,850
phòng,膨,850
tsi̍h,舌,850
bat,識,850
sî,辭,850
im,陰,850
hōng,鳳,850
pi̍k,白,849
hé,伙,834
pió,表,834
suí,水,830
tàu,到,825
khǹg,勸,821
liâu,條,821
kàm,監,820
sài,使,809
hú,甫,808
tsū,字,806
tō,稻,805
ú,與,802
tan,丹,800
siān,善,800
siā,射,800
tshiúnn,廠,800
sàu,掃,800
pòo,播,800
bôo,模,800
gê,牙,800
uánn,碗,800
puî,肥,800
thâng,蟲,800
lo̍k,鹿,800
khiau,曲,790
tsai-iánn,知影,789
khíng,肯,788
hué,悔,782
him,欣,779
lak,落,767
pian,邊,764
jî,而,757
tsuê,齊,754
iu,優,750
uan,冤,750
ping,冰,750
khòo,庫,750
thiah,拆,750
tsáinn,指,750
tsâi,材,750
thô,桃,750
tsai,災,750
ngī,硬,750
tsik,積,750
io,腰,750
uē,衛,750
sue,衰,750
tâm,談,750
niau,貓,750
tui,追,750
iû,遊,750
kiànn,鏡,750
bū,霧,750
phē,被,748
lê,麗,743
ba̍k,木,737
biān,面,736
lo̍h,駱,736
tsìng,眾,735
sim-kuann,心肝,732
kan-ta,干乾,730
gíng,研,729
lâu,劉,722
tshiú,醜,720
tshiú,首,720
tâng,同,712
tsiau,招,710
sim-lāi,心內,702
tshì,刺,700
kuah,割,700
khinn,坑,700
pha,拋,700
tshah,插,700
sat,殺,700
ian,煙,700
kun,筋,700
nâ,籃,700
ko,膏,700
tsng,莊,700
hê,蝦,700
hong,豐,700
tôo,途,700
tâng,銅,700
lōo,露,700
tiánn,鼎,700
hua,花,691
m̄-sī,不是,687
phīng,並,685
pīng,並,685
sìng,姓,682
sìnn,姓,682
kò,過,680
hân,寒,676
si̍t-tsāi,實在,670
sū,序,669
sóo-í,所以,669
m̄-bat,不識,667
sing-lí,生理,663
ú,雨,659
mài,勿,656
hia̍p,協,650
bōng,墓,650
bōo,墓,650
iā,夜,650
î,姨,650
sī,寺,650
tsiam,尖,650
kip,急,650
tshap,插,650
pāi,敗,650
kuī,櫃,650
jú,汝,650
sai,獅,650
gán,眼,650
pōng,磅,650
tshiam,簽,650
bê,糜,650
tshang,蔥,650
tshâi,裁,650
tshiah,赤,650
iân,鉛,650
uê,鞋,650
ing,應,648
thn̂g,傳,647
ba̍t,密,635
hiat,血,635
tè,戴,633
tè,隨,633
jím,忍,629
hui,飛,629
tshó,草,622
ti̍t,值,621
tiâu,椆,621
sai,司,616
sui-jiân,雖然,615
suà,續,614
nāu,鬧,610
ún,允,606
tsiú,守,606
kuà,蓋,604
tsān,贊,603
thîng,程,601
phian,偏,600
sàu,嗽,600
thán,坦,600
tiânn,埕,600
tuânn,壇,600
iân,延,600
bán,挽,600
tsih,接,600
tshau,操,600
kè,架,600
liu,溜,600
lôo,爐,600
àng,甕,600
tsìng,症,600
hông,皇,600
tâng,筒,600
kôo,糊,600
ko,糕,600
se,紗,600
phāng,縫,600
tshiau,超,600
lûn,輪,600
tshìng,銃,600
phoo,鋪,600
siám,閃,600
tse̍h,絕,593
niú,兩,589
hia̍h,額,587
pu̍t,佛,586
sin,娠,585
sing-khu,身軀,585
liáu-āu,了後,584
kú,舉,584
lî,離,584
phah,打,580
pîng-iú,朋友,574
bong,摸,570
khuànn-kìnn,看見,570
siāng,上,563
suat,雪,562
ki,姬,560
lōo,賂,554
ba̍k-sái,目屎,553
hìng,興,552
the̍h,提,551
khit,乞,550
hù,付,550
tshun,伸,550
kē,低,550
tshiah,刺,550
ûn,勻,550
uí,委,550
jio̍k,弱,550
pit,必,550
kíng,揀,550
kî,旗,550
tsai,栽,550
pho,波,550
tōo,渡,550
kún,滾,550
thâm,潭,550
iām,炎,550
tsàng,粽,550
soh,索,550
kū,舅,550
ōo,芋,550
lôo,蘆,550
tsè,製,550
tak,觸,550
iû,郵,550
sng,酸,550
ām,頷,550
suè,說,549
kńg,管,548
lāi,利,544
hé,夥,539
kah,較,539
tuān,斷,538
sio,蕭,537
ha̍h,合,532
tshiūnn,象,531
kè,假,530
hiáng,響,530
tsin-tsiànn,真正,529
kiú,九,527
ki,支,526
lún,忍,524
lī-khui,離開,523
ha̍k-sing,學生,521
hn̄g,遠,519
khia,奇,516
kann,監,512
sik,息,510
phang,香,510
kuan,官,508
suánn,散,507
sè,賽,503
sio̍k,塾,501
tsa-bóo,查某,501
sio̍k,熟,501
sio̍k,蜀,501
m̄-tsiah,不即,500
tsínn,井,500
ka,佳,500
hîng,刑,500
huē,匯,500
pi,卑,500
sià,卸,500
âu,喉,500
khám,坎,500
tsip,執,500
ba̍k,墨,500
thò,套,500
sím,審,500
hong,封,500
sûn,巡,500
kun,巾,500
tsō,座,500
tshiúnn,搶,500
si,施,500
huâinn,橫,500
tshù,次,500
tsiann-si̍t,正實,500
pháinn-sè,歹勢,500
hóng,況,500
liâng,涼,500
bô-iánn,無影,500
nuā,爛,500
sán,瘦,500
tsoo,租,500
tiū,稻,500
kán-tan,簡單,500
li̍k,綠,500
kuàn,罐,500
hip,翕,500
tánn,膽,500
lîm,臨,500
tsû,薯,500
tham,貪,500
thiap,貼,500
sô,趖,500
pua̍h,跋,500
tô,逃,500
tiān-uē,電話,500
pà,霸,500
lim,飲,500
tàu-tīn,鬥陣,500
tsiàu,詔,499
kuainn,關,498
koh,各,497
jī,貳,497
tshe,差,483
hong,瘋,482
bóo,母,481
thôo,土,479
it-ti̍t,一直,468
tiân,田,468
tshue,初,463
kám-kak,感覺,463
hong,芳,459
hîng,雄,458
m̄-tsai,不知,457
tsi̍t-ē,一下,452
bông,亡,450
khiām,儉,450
tshìn,凊,450
sî,匙,450
tsiu,周,450
kā,咬,450
kînn,墘,450
khuè,契,450
ḿ,姆,450
ui,威,450
ku,居,450
kiā,崎,450
si̍k,席,450
lāng,弄,450
suá,徙,450
ting,徵,450
khàu,扣,450
ah,押,450
kûn,拳,450
tah,搭,450
kong,攻,450
pha̍k,曝,450
thuî,槌,450
tî,池,450
tsuânn,泉,450
phû,浮,450
tsàu,灶,450
iâ,爺,450
khîm,琴,450
gāi,礙,450
tshiu,秋,450
î,移,450
huān,範,450
tshik,粟,450
pùn,糞,450
tà,罩,450
hua̍t,罰,450
uī,胃,450
hôo,胡,450
hing,胸,450
me̍h,脈,450
póo,脯,450
thuí,腿,450
tsing,舂,450
sîn,蠅,450
po,褒,450
thok,託,450
sòo,訴,450
kiō,轎,450
ting,釘,450
tiò,釣,450
kǹg,鋼,450
tsa̍h,閘,450
kàng,降,450
seh,雪,450
luî,雷,450
be̍h,麥,450
āu-lâi,後來,447
hing,兄,439
tshiò,唱,438
kan-khóo,艱苦,436
sing,陞,434
iá,也,430
iá,冶,430
tshuì,嘴,430
tuàn,斷,430
phî,皮,430
sû,辭,425
ta̍k,毒,424
a-bú,阿母,423
pa̍t-lâng,別人,422
gâu,賢,422
la,拉,421
gōo,悟,419
